RunCollatz < RunCollatz.in
1 10 20
100 200 125
201 210 89
900 1000 174
553091 399992 470
882476 388596 525
743492 337399 470
841095 258402 525
786188 128490 470
417144 754368 470
487485 116477 449
31225 577494 470
252430 802731 470
978743 757108 525
643815 579373 447
318516 219705 443
348348 434308 449
119348 738198 470
507806 898299 525
569493 812272 468
293382 150210 443
20474 66417 340
714658 413606 470
189067 273071 443
841403 207116 525
720675 842211 525
595454 585313 403
401105 807570 470
253805 642690 470
413103 415653 374
615122 266184 470
533117 282766 470
327310 766579 470
563048 836662 468
38537 774092 470
303618 542209 470
938446 322579 525
403728 652900 470
675364 21535 470
381690 164041 443
785727 888085 525
31957 990357 525
552682 997276 525
499676 559781 470
909408 619439 525
744317 689525 442
261022 582494 470
559269 521391 452
525527 903640 525
58788 107326 354
850417 799656 525
775492 112634 470
738892 88055 470
497778 197661 449
987961 568848 525
503135 216119 449
412226 17157 449
445992 613020 470
891535 395437 525
783652 734641 468
333848 886260 525
478014 997385 525
801831 707163 468
596619 98955 470
10206 252746 443
772615 995891 525
583950 400632 470
915759 891686 476
292437 632101 470
712253 686442 442
994314 974942 427
324373 443214 449
583507 768578 468
212451 232521 443
500232 867470 525
39776 107090 354
413378 920288 525
401585 180649 443
460243 805068 470
27746 525246 470
249059 824943 470
620022 525465 452
687101 290769 470
668339 240477 470
628777 483062 470
145346 144565 295
368314 693037 470
62685 532016 470
896643 378643 525
761973 945577 525
194956 120355 383
552887 232859 470
55712 680617 470
745112 323949 470
892050 72438 525
611945 605366 412
871102 894766 432
724226 479152 470
971611 999167 427
987892 488189 525
258292 312000 416
385943 784713 470
682668 239338 470
640447 167513 470
218848 632054 470
252915 831738 470
970279 531492 525
842426 739845 525
858791 355477 525
546714 416102 470
737682 695928 424
792057 36904 470
210180 648679 470
352227 478681 449
150521 329217 443
260157 89292 443
644456 439940 470
904754 28734 525
482110 844925 525
864863 715352 525
736342 552049 447
140051 285309 443
920546 960902 476
495634 303143 449
500215 846302 525
986242 344374 525
418366 72597 449
273839 156775 443
656163 935260 525
772526 284710 470
356142 312341 441
849222 155578 525
838956 537785 525
335702 17520 443
50098 218277 386
695201 388687 470
633929 856739 525
870864 57376 525
597850 866559 525
699230 840588 525
831909 618448 468
480532 697942 470
853002 762823 525
370133 134160 443
689385 529462 452
435160 167554 449
328736 135275 443
425679 560947 470
860230 904972 432
2625 726839 470
529581 665137 452
412136 719666 470
724826 585449 447
40139 299097 443
87589 132400 354
54203 244493 443
38010 903923 525
498791 961783 525
232911 344867 416
911434 190043 525
817939 602303 468
209818 907130 525
26879 962162 525
142063 536488 470
64964 40451 340
666683 777920 468
464124 939793 525
776621 894725 525
872872 983041 476
658282 345628 470
33716 363346 443
864651 384401 525
56226 920177 525
670030 341637 470
570179 736350 447
328992 602206 470
5206 249772 443
496665 309001 449
606309 609954 412
18110 760002 470
850910 838630 419
991117 509076 525
375102 678979 470
812257 238162 470
335595 294271 384
76145 611888 470
886343 391208 525
603862 882643 525
51750 345809 443
746045 887783 525
72029 506685 449
211199 973689 525
819363 844528 525
918707 831682 525
591087 727139 447
227073 357422 443
329654 2978 443
736058 771555 468
810983 426005 470
31672 933889 525
26375 430270 449
472472 142309 449
888068 41067 525
94949 174527 383
314318 370600 441
889384 542231 525
266706 906188 525
524000 794204 468
510431 829235 470
244114 361978 441
422800 403779 449
406304 511398 449
295822 304231 371
447836 522105 470
321270 707403 470
722662 160368 470
347174 222733 443
182453 466034 449
17267 90112 351
252965 35228 443
264712 65347 443
952395 150610 525
301707 30102 443
9016 401748 443
728079 964158 525
578898 839054 525
107278 5483 354
282968 198181 443
667025 5563 470
525683 871544 525
913397 571329 525
203454 2579 383
674553 265692 470
516125 311895 470
548704 649553 447
430571 404706 449
873950 693296 525
160336 80844 383
801019 464306 470
731053 780463 468
457796 425617 400
890417 211472 525
307706 521251 470
392849 232115 441
348071 695424 470
279953 136233 443
861192 855719 375
501350 451945 444
501521 942741 525
278840 134404 443
228014 667303 470
473863 719137 470
947589 763057 525
19848 178479 383
270625 44624 443
250664 996328 525
525841 826397 468
413313 324761 449
382566 845461 525
114158 174040 383
296434 97499 443
486647 109307 449
324341 624889 470
