RunCollatz < RunCollatz.in
887 9384 262
6916 2778 262
8336 7794 252
493 5387 238
1422 6650 262
28 2363 183
60 8691 262
3927 7764 262
3427 541 217
5737 9173 262
5369 5212 192
6430 2568 262
1531 5783 238
5124 2863 238
3136 4068 238
9803 3930 262
3059 4023 238
8168 3070 262
8457 1394 262
8043 5012 262
7374 6230 257
4920 4422 197
8538 3785 262
4325 5199 215
4371 8316 262
3527 6414 262
8981 6092 262
1874 9957 262
9171 6863 257
7282 6997 195
926 2306 183
6328 7085 257
6506 337 262
1730 847 182
5858 1314 238
3896 6125 236
546 9583 262
3368 8815 262
365 5435 238
3751 4044 189
6809 1088 262
7179 7277 164
3585 5789 238
2652 5404 238
2400 2755 209
5061 9933 262
3369 9677 262
13 7740 262
8587 6227 257
7540 8095 252
571 796 171
379 1435 182
6602 7468 257
2903 98 209
493 3318 217
757 6653 262
281 7302 262
9442 4287 262
9690 3866 262
6620 8445 257
4730 8441 262
8118 8032 190
5772 8098 262
676 4482 238
8928 710 262
7857 4568 262
2354 9498 262
6966 4587 262
4684 5307 210
8625 6220 257
2872 1529 209
8830 5733 262
20 9504 262
3369 8271 262
6716 9709 260
8150 6341 257
724 7797 262
2246 2619 209
3452 2847 217
3556 2922 199
7489 2380 262
8229 7765 252
2351 9842 262
1501 5194 238
7765 7035 239
4915 125 238
5857 6988 262
6492 3744 262
8366 2228 262
1937 9860 262
2552 1433 209
9229 6438 257
5408 3276 238
6122 1475 238
4396 8859 262
1238 6030 238
3794 8236 262
4429 5819 236
1012 6144 238
9530 5929 262
2405 8777 262
5764 4444 236
4539 4614 184
6841 8607 257
4819 2905 238
689 5129 238
7918 7370 239
6997 9918 260
7744 3325 262
2184 9471 262
5500 8491 262
6726 9773 260
5591 5645 174
8140 7506 252
9787 2955 262
8083 7670 252
8465 8543 203
9508 198 262
8805 9356 260
8612 6349 257
7829 3623 262
7344 9300 260
5569 5747 205
5423 4341 215
3811 3312 238
1802 7606 262
3731 5662 236
1306 4879 238
8737 9321 260
8627 9445 260
3466 8523 262
3417 6709 262
3259 8283 262
7638 2925 262
5625 2063 238
2037 2601 209
1900 3453 217
5551 9380 262
72 7469 262
7132 974 262
4931 3882 215
5895 8934 262
164 8661 262
7982 7200 252
2997 8900 262
3774 2960 238
9669 2814 262
1096 7191 262
6467 2927 262
1341 5085 238
7685 2091 262
5543 3377 238
9108 5937 262
9757 7446 260
8419 9180 247
9413 6888 260
2173 3349 217
2010 1660 180
5211 2337 238
7588 6343 257
9302 8207 260
7373 7714 239
1256 5322 238
4600 4820 197
9905 7722 260
9812 5940 262
5668 3941 236
6229 1706 262
9151 1128 262
6659 5985 262
9225 3921 262
7270 2423 262
4082 1397 238
85 5631 238
1973 9293 262
3851 7673 262
5386 7626 262
9300 1223 262
6043 6641 262
714 3899 238
6191 2299 262
2591 525 209
8582 8210 234
9337 8820 260
1156 7733 262
8005 5995 262
4770 380 238
1777 5274 238
7256 8851 252
8143 1861 262
5885 5580 218
3206 1994 217
9568 7622 260
614 2505 209
2755 1962 209
4260 1327 238
8203 8945 234
3507 3203 181
2022 6785 262
869 2843 209
5190 9529 262
9909 8873 260
499 9959 262
8809 8037 234
6249 7754 257
3334 3304 181
1649 2134 180
9755 2891 262
1747 7568 262
9530 369 262
8047 4501 262
9798 3789 262
6991 6250 257
3034 3304 199
2498 5364 238
4893 254 238
9126 7687 252
3997 1153 238
9189 5976 262
3730 9158 262
2461 5437 238
3922 3415 238
6305 461 262
8028 29 262
6749 8051 257
8903 7557 252
7698 4795 262
1044 8700 262
2003 1040 182
6404 429 262
682 4501 238
8539 7648 252
5152 6160 236
2135 2536 209
1693 4340 238
6128 2216 238
5630 505 238
965 50 179
6430 8286 257
6336 5344 262
2901 3178 217
7972 5239 262
290 6950 262
7989 5368 262
5796 2293 238
